IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"52.16.247.61","CloudFlare Origin Certificate","CloudFlare, Inc.","","","","*.digitalbooker.net|digitalbooker.net","","false"
"52.16.247.57","*.expend.io","","","","","*.expend.io","","false"
"52.16.247.70","*.wp.s-cloud.fi","","","","","*.wp.s-cloud.fi","","false"
"52.16.247.74","offertes.dpgmm.nl","","","","","offertes.dpgmm.nl","","false"
"52.16.247.67","*.uat.mixtelematics.com","MiX Telematics International (Pty) Ltd","ZA","Stellenbosch","","*.uat.mixtelematics.com|uat.mixtelematics.com","","false"
"52.16.247.92","*.teads.app","","","","","*.teads.app|teads.app","","false"
"52.16.247.122","sites-api-ng.staging.newglue.com","","","","","sites-api-ng.staging.newglue.com","","false"
"52.16.247.134","*.onfido.com","","","","","*.onfido.com|onfido.com","","false"
"52.16.247.137","*.agilecontent.com","","","","","*.agilecontent.com","","false"
"52.16.247.143","atlantis-consensys.shared.codefi.network","","","","","atlantis-consensys.shared.codefi.network","","false"
"52.16.247.146","hq6nkk668m88f8dm4hd4fh8pmk29m4dm.bbc.co.uk","British Broadcasting Corporation","GB","London","","identity.id.qa1.cloud.bbc.co.uk|identity.id.qa1.tools.bbc.co.uk|identity.id.qa1.api.bbci.co.uk|identity.id.qa1.api.bbc.co.uk|identity.id.qa1.api.bbc.com|identity.id.qa1.md.bbc.co.uk","","false"
"52.16.247.136","casb-dev-smartview.kube1.iaas.checkpoint.com","","","","","casb-dev-smartview.kube1.iaas.checkpoint.com|www.casb-dev-smartview.kube1.iaas.checkpoint.com","","false"
"52.16.247.147","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"52.16.247.151","grabyo.com","","","","","grabyo.com|*.grabyo.com","","false"
"52.16.247.160","kube-apiserver","","","","","d05ca659fdea48e6f38d7cd5c183f228.gr7.eu-west-1.eks.amazonaws.com|ip-10-0-56-64.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.41.49|10.0.56.64","false"
"52.16.247.163","*.savanamed.com","","","","","*.savanamed.com|savanamed.com","","false"
"52.16.247.165","mkandasami.com","","","","","mkandasami.com","","false"
"52.16.247.179","*.eu-west-1.awsapprunner.com","","","","","*.eu-west-1.awsapprunner.com","","false"
"52.16.247.183","*.mercusyscloud.com","Mercusys Technologies Co., Ltd.","","","","*.mercusyscloud.com|mercusyscloud.com","","false"
"52.16.247.188","zetaorange.com","","","","","zetaorange.com","","false"
"52.16.247.180","webtools-gamma.eu.aftx.amazonoperations.app","","","","","webtools-gamma.eu.aftx.amazonoperations.app|*.webtools-gamma.eu.aftx.amazonoperations.app","","false"
"52.16.247.194","*.kreoh.com","","","","","*.kreoh.com|*.staging.engine.kreoh.com|*.engine.kreoh.com|*.staging.amplifi.kreoh.com|*.staging.kreoh.com|*.amplifi.kreoh.com","","false"
"52.16.247.200","*.ucaspio.com","","","","","*.ucaspio.com","","false"
"52.16.247.206","*.eu-west-1.elb.amazonaws.com","Legal Department","CH","Geneva","Geneva","","","true"
"52.16.247.208","polaris-pre-prod.snyk-internal.net","","","","","polaris-pre-prod.snyk-internal.net|pre-prod-1.eu-west-1.polaris-pre-prod.snyk-internal.net|*.pre-prod-1.eu-west-1.polaris-pre-prod.snyk-internal.net","","false"
"52.16.247.212","store.giddh.com","","","","","store.giddh.com|teststore.giddh.com","","false"
"52.16.247.209","*.aeb.it","","","","","*.aeb.it|aeb.it","","false"
"52.16.247.223","linnworks.net","Linn Systems Ltd","GB","CHICHESTER","","linnworks.net|*.linnworks.net","","false"
"52.16.247.218","*.ebu.ch","European Broadcasting Union","CH","Le Grand-Saconnex","Geneva","*.ebu.ch|ebu.ch","","false"
"52.16.247.220","adobe.io","Adobe Inc.","US","San Jose","California","adobe.io|*.acrobat.com|adobecc.com|mixamo.com|*.adobecontent.io|*.adobe.io|*.dev.dexilab.acrobat.com|*.infra.adobe.io|*.infra.private.adobe.io|adobesc.com|*.licenses.adobe.com|*.adobecc.com|oobesaas.adobe.com|*.files.dev.dexilab.acrobat.com|adobecontent.io|*.files.stage.acrobat.com|*.stage.acrocomcontent.com|*.stage.acrobat.com|*.acrocomcontent.com|*.mixamo.com|licenses.adobe.com|*.files.acrobat.com|*.adobesc.com|*.private.adobe.io|*.oobesaas.adobe.com","","false"
"52.16.247.225","*.prod.heliosnissan.net","","","","","*.prod.heliosnissan.net|prod.heliosnissan.net","","false"
"52.16.247.221","test.empty","company","FR","city","Some-State","","","true"
"52.16.247.246","","","","","","","","false"
"52.16.247.248","elprod.aws.pmicloud.biz","","","","","elprod.aws.pmicloud.biz|*.elprod.aws.pmicloud.biz","","false"
"52.16.248.2","router.hereapi.com","HERE Global B.V.","NL","Eindhoven","Noord-Brabant","router.hereapi.com|*.router.hereapi.com|*.ols-router.api-gateway.ls.hereapi.com","","false"
"52.16.248.10","apicb.tvsota.np.aws.kpn.com","","","","","apicb.tvsota.np.aws.kpn.com","","false"
"52.16.248.22","*.samsungcloud.tv","Samsung Electronics Co.,Ltd.","KR","Suwon-si","Gyeonggi-do","*.samsungcloud.tv|samsungcloud.tv","","false"
